NCBI code,Given gene name
NP_001078112.1,L22e-protein-family.1_A.thaliana
NP_171782.1,L22e-protein-family.2_A.thaliana
NP_198129.1,L22e-protein-family.3_A.thaliana
NP_494932.1,eL22_C.elegans
XP_062501865.1,eL22-like_C.candelabrum
XP_022343312.1,L22-like_C.virginica
XP_005538757.1,L22_C.merolae 
XP_635911.1,L22.1_D.discoideum
XP_636907.1,L22.2_D.discoideum 
NP_477134.1,L22_D.melanogaster 
NP_611771.1,L22-like_D.melanogaster 
KAG9295949.1,G9A89-011801_G.pyriformis 
XP_001704458.2,L22e_G.intestinalis 
NP_001234976.1,L22-2-like.1_G.max
NP_001236434.2,L22-protein-family_G.max
NP_001236862.1,L22-2-like.2_G.max
NP_001237039.1,L22-2-like.3_G.max
NP_001336711.1,L22-2.1_G.max
XP_003556520.1,l22-2.2_G.max
NP_000974.1,eL22_H.sapiens 
NP_001093115.1,el22-like-isoform-1_H.sapiens
XP_064745982.1,L199-004182_K.botswanensis
XP_001686907.1,L22.1_L.major
XP_001687026.1,L22.2_L.major 
XP_041479948.1,L22_L.variegatus 
BFI32126.1,L22e_M.polymorpha 
XP_002499883.1,predicted_M.commoda
NP_001264042.1,eL22-isoform-b_M.musculus
NP_080793.1,eL22-like-1-isoform-1_M.musculus 
XP_001626833.2,L22_N.vectensis 
XP_015630925.1,L22-2.1_O.sativa 
XP_015647764.1,L22-2.2_O.sativa 
XP_024368971.1,L22-3-like.1_P.patens 
XP_024369030.1,L22-3-like.2_P.patens 
XP_024378492.1,L22-3-like.3_P.patens 
XP_024381496.1,L22-3-like-isoform-X2_P.patens
XP_024387983.1,L22-3-like.4_P.patens 
XP_024388974.1,L22-3-like.5_P.patens 
XP_024389419.1,L22-3-like.6_P.patens 
XP_001349308.1,L22-putative_P.falciparum
XP_053024850.1,PtA15-10A719_P.triticina 
NP_013162.1,L22A_S.cerevisiae 
NP_116619.1,L22B_S.cerevisiae 
XP_051067065.1,L22_S.haematobium
XP_056037923.1,L22_S.osmophilus 
XP_049384226.1,L22-3-like.1_S.stentomum
XP_049407272.1,L22-3-like.2_S.stentomum
XP_049407274.1,L22-3-like.3_S.stentomum 
XP_029742903.1,EX895-000916_S.graminicola
XP_031025581.1,SmJEL517-g02499_S.microbalum 
XP_035349240.1,TRUGW13939-10234_T.rugulosus
XP_001014258.3,L22-putative_T.thermophila 
XP_007035624.1,L22-3-predicted_T.cacao 
XP_007050935.2,L22-2-isoform-X1-predicted_T.cacao
XP_043000912.1,UV8b-07480_U.virens 
XP_002268941.1,eL22z.1_V.vinifera 
XP_002269845.1,eL22z.2_V.vinifera 
XP_003633625.1,eL22z.3_V.vinifera
XP_010659646.1,eL22z.4_V.vinifera 
NP_001081541.1,L22.1_X.laevis
NP_001091257.1,LOC100037062_X.laevis
XP_018081603.2,L22.2_X.laevis
XP_002143093.1,L22_Y.lipolytica
